EbayID,Price,PricePercent,StartingBidPercent,SellerName,SellerClosePercent,Category,PersonID,StartingBid,AvgPrice,EndDay,QuantitySold,HitCount,AuctionAvgHitCount,Authenticated,ItemAuctionSellPercent,SellerSaleAvgPriceRatio,SellerAvg,SellerItemAvg,AuctionHitCountAvgRatio,BestOffer,ReturnsAccepted,IsHOF,BidCount,AuctionCount,AuctionSaleCount,SellerAuctionCount,SellerAuctionSaleCount,PriceBuckets,AuctionMedianPrice,IsInMedianRatio10Percent,IsInMedianRatio20Percent,IsInMedianRatio25Percent
3.1066E+11,7.99,0.9038,0.9038,det.tigss,0.152542373,73396,303,7.99,8.84,5,1,4,3,0,0.6,0.52,6,12,1.333333333,0,0,0,1,5,3,59,9,10,7.99,1,1,1
3.00896E+11,0.99,1,1,sprad22,0.107142857,53,343,0.99,0.99,5,1,11,11,0,1,0.52,2,4,1,0,0,0,1,1,1,616,66,5,0.99,1,1,1
1.9083E+11,14.99,0.2814,0.2814,phillyguy856,0.380952381,27260,412,14.99,53.2615,4,1,25,102,0,0.411764706,0.45,8,18,0.245098039,0,0,0,1,51,21,84,32,15,26,0,0,0
3.10659E+11,10.5,0.507,0.2892,tmt51,0.333333333,27265,412,5.99,20.7066,5,1,67,63,0,0.321428571,1.27,43,46,1.063492063,0,1,0,2,28,9,204,68,15,15.25,0,0,0
2.21219E+11,43.88,0.897,0.0202,rochestersports,0.995726496,27277,429,0.99,48.9142,3,1,32,84,0,0.904761905,0.88,78,89,0.380952381,0,1,0,10,21,19,1638,1631,45,45.88,1,1,1
2.21223E+11,40.78,0.8337,0.0202,rochestersports,0.995726496,27277,429,0.99,48.9142,2,1,41,84,0,0.904761905,0.88,78,89,0.488095238,0,1,0,13,21,19,1638,1631,45,45.88,0,1,1
3.21114E+11,55,1.1244,0.0202,rochestersports,0.995726496,27277,429,0.99,48.9142,5,1,28,84,0,0.904761905,0.88,78,89,0.333333333,0,1,0,19,21,19,1638,1631,55,45.88,0,1,1
2.21219E+11,74.85,1.5302,0.0202,rochestersports,0.995726496,27277,429,0.99,48.9142,4,1,43,84,0,0.904761905,0.88,78,89,0.511904762,0,1,0,23,21,19,1638,1631,75,45.88,0,0,0
3.21119E+11,51.03,1.0432,0.0202,rochestersports,0.995726496,27277,429,0.99,48.9142,1,1,39,84,0,0.904761905,0.88,78,89,0.464285714,0,1,0,22,21,19,1638,1631,55,45.88,0,1,1
2.712E+11,90.88,2.387,0.026,cantonandcooper,0.905845835,53,495,0.99,38.0719,7,1,77,134,1,0.434782609,1.13,62,59,0.574626866,0,1,0,16,46,20,1933,1751,95,33.11,0,0,0
